"hosts.ID","inf.by","inf.time","out.time","active","p_max","t_incub"
"H-233","H-126",29,NA,1,0.842495484677005,5.04083622266746
"H-234","H-14",29,NA,1,0.716665839964644,4.91251278938023
"H-235","H-15",29,NA,1,0.855988271282311,5.66801518960099
"H-236","H-16",29,NA,1,0.745205663522863,3.58344240979587
"H-237","H-17",29,NA,1,0.755566482224265,5.50571330544177
"H-238","H-19",29,NA,1,0.51746506772762,6.85321141914168
"H-239","H-20",29,NA,1,0.795644051410466,6.0936550321305
"H-24","H-4",18,NA,1,0.769130199548043,5.63330318948666
"H-240","H-24",29,NA,1,0.841249107789174,5.62163139630346
"H-241","H-25",29,NA,1,0.894651624360625,4.64400919244339
"H-242","H-26",29,NA,1,0.801525739783328,3.34238204060452
"H-243","H-27",29,NA,1,0.797405863370975,4.303803413901
"H-244","H-28",29,35,0,0.516154577288415,4.82268408905157
"H-245","H-29",29,NA,1,0.767707054146339,3.61615520370079
"H-246","H-3",29,NA,1,0.807634790979494,5.60148104554819
"H-247","H-33",29,NA,1,0.888954818305206,3.37026982502551
"H-248","H-34",29,NA,1,0.838411990560445,4.49784181146351
"H-249","H-36",29,NA,1,0.589068939143365,4.0821005096597
"H-25","H-5",18,NA,1,0.57644787833141,4.11955142661064
"H-250","H-38",29,NA,1,0.518107601545438,5.10809352779801
"H-251","H-41",29,NA,1,0.780397492327979,4.13968044979412
"H-252","H-42",29,NA,1,0.811728315343524,3.42140498118105
"H-253","H-45",29,NA,1,0.784333997186065,6.02849924241855
"H-254","H-47",29,NA,1,0.894977436393033,4.36579360294685
"H-255","H-49",29,NA,1,0.901030707395731,5.48515823064523
"H-256","H-50",29,NA,1,0.77832181973036,7.57243286674123
"H-257","H-51",29,NA,1,0.503622770374316,3.92003460894375
"H-258","H-52",29,NA,1,0.44931825706275,5.31522882381991
"H-259","H-53",29,NA,1,0.283717407638744,4.8177897476859
"H-26","H-6",18,32,0,0.934490140300054,5.91088858806584
"H-260","H-54",29,NA,1,0.996179808820797,5.80847864966578
"H-261","H-55",29,NA,1,0.816926672176199,4.00368323710074
"H-262","H-58",29,NA,1,0.77929152398896,5.22079775038194
"H-263","H-59",29,NA,1,0.787826873166013,5.16091560717878
"H-264","H-61",29,NA,1,0.898131406876647,6.55530480304439
"H-265","H-62",29,NA,1,0.86209062254001,4.91024060837565
"H-266","H-63",29,NA,1,0.669527898453998,3.29379755184172
"H-267","H-66",29,NA,1,0.376449344034837,4.58425672136645
"H-268","H-68",29,NA,1,0.69526216724611,5.31631536545354
"H-269","H-69",29,NA,1,0.8018725156661,4.65597244599106
"H-27","H-1",19,NA,1,0.818677263746859,4.45968482062246
"H-270","H-7",29,NA,1,0.672651434827441,5.87742306644113
"H-271","H-71",29,NA,1,0.687937093162885,4.45076366272715
"H-272","H-73",29,NA,1,0.732124407499152,5.2241144680311
"H-273","H-77",29,NA,1,0.801679687991348,4.88286232015921
"H-274","H-78",29,NA,1,0.754304666112933,3.56609680122461
"H-275","H-8",29,NA,1,0.566663689869398,3.057552392882
"H-276","H-80",29,NA,1,0.763820806245424,4.78999046072546
"H-277","H-81",29,NA,1,0.548195503462066,4.61055070774986
"H-278","H-82",29,NA,1,0.2349725018279,4.88537159915665
"H-279","H-89",29,NA,1,0.877289953578919,5.4510670866495
"H-28","H-3",19,NA,1,0.93463688343249,3.01345574576588
"H-280","H-95",29,NA,1,0.946511464976647,4.71389795949196
"H-281","H-96",29,35,0,0.820432461044874,4.10446381376916
"H-282","H-97",29,NA,1,0.750168961286849,5.35986256985029
"H-283","H-1",30,NA,1,0.891329889300267,5.44894284150652
"H-284","H-103",30,NA,1,0.936657986233766,7.04213526603268
"H-285","H-104",30,NA,1,0.670334991380986,5.45745614105648
"H-286","H-11",30,NA,1,0.911923682169902,6.11452972001353
"H-287","H-110",30,NA,1,0.836455039925683,3.77944569338189
"H-288","H-111",30,NA,1,0.628128441683157,5.74042274313904
"H-289","H-117",30,NA,1,0.570266881813695,4.58220945072432
"H-29","H-4",19,NA,1,0.839640906552112,4.48730896693186
"H-290","H-12",30,NA,1,0.660496361083969,5.46293633628414
"H-291","H-120",30,NA,1,0.720334449816706,5.98987028949
"H-292","H-122",30,NA,1,0.990333217733555,4.85651992925952
"H-293","H-123",30,NA,1,0.863188945920956,5.2931446979566
"H-294","H-125",30,NA,1,0.775747340985282,3.42887027552258
"H-295","H-128",30,NA,1,0.845080009961318,4.92746657966997
"H-296","H-137",30,NA,1,0.934507854049224,3.60866891583496
"H-297","H-14",30,NA,1,0.953776133201153,3.54770224641905
"H-298","H-145",30,NA,1,0.804593606958388,3.78412486373431
"H-299","H-148",30,NA,1,0.749466275858417,5.04544996215493
"H-3","H-1",7,NA,1,0.697237066142602,5.00368636093187
"H-30","H-6",19,NA,1,0.761546624047792,6.01300567086812
"H-300","H-16",30,NA,1,0.753460743564739,4.68738261246767
"H-301","H-162",30,NA,1,0.467281763585128,4.40163520258872
"H-302","H-17",30,NA,1,0.796923248308271,4.64873799875496
"H-303","H-18",30,NA,1,0.798953186497427,6.32439657764155
"H-304","H-181",30,NA,1,0.946013050780491,4.35175271491863
"H-305","H-19",30,NA,1,0.612472090711311,4.70828598663265
"H-306","H-20",30,33,0,0.734162193335313,4.59964534189277
"H-307","H-24",30,NA,1,0.801798122833531,4.97849809799815
"H-308","H-26",30,NA,1,0.654842904681984,5.16044031339324
"H-309","H-27",30,NA,1,0.789311603122024,4.62970590418057
"H-31","H-7",19,NA,1,0.491048181807307,4.46665738882503
"H-310","H-28",30,NA,1,0.788235464841555,4.63596132125385
"H-311","H-29",30,NA,1,0.783880634351095,3.67836294049758
"H-312","H-3",30,NA,1,0.777877904103417,5.79565966108627
"H-313","H-32",30,NA,1,0.522858932238178,4.9224134242017
"H-314","H-33",30,NA,1,0.849693940290215,4.77820954090448
"H-315","H-35",30,NA,1,0.618264434132016,5.34607093887117
"H-316","H-36",30,NA,1,0.881764919392731,5.01805576057899
"H-317","H-37",30,NA,1,0.763034674933196,5.13017472047245
"H-318","H-39",30,NA,1,0.818087425031169,5.32242506266312
"H-319","H-4",30,NA,1,0.698757458925449,4.96506380754276
"H-32","H-8",19,NA,1,0.73258014935717,4.35606839259755
"H-320","H-40",30,NA,1,0.681189266512668,4.55249667336862
"H-321","H-41",30,NA,1,0.642567684852146,6.60774251289401
"H-322","H-42",30,35,0,0.701853924218103,3.96174414805216
"H-323","H-43",30,NA,1,0.746626749573981,5.99398901486876
"H-324","H-49",30,NA,1,0.273608223834643,3.18177296444152
"H-325","H-51",30,NA,1,0.820743249138576,6.17085751251012
"H-326","H-52",30,NA,1,0.590893732819968,4.76188245125982
"H-327","H-53",30,NA,1,0.813065810578345,4.16724556483889
"H-328","H-55",30,NA,1,0.897887145008972,4.96465270830676
"H-329","H-56",30,NA,1,0.882112527082415,4.41351322141156
"H-33","H-1",20,NA,1,0.537299842519757,4.87819043255401
"H-330","H-57",30,NA,1,0.62023598567071,3.68089098878754
"H-331","H-58",30,NA,1,0.720136842285916,4.60891741928979
"H-332","H-6",30,NA,1,0.810514007811755,5.41727350350493
"H-333","H-60",30,NA,1,0.766770750578695,5.23079584976946
"H-334","H-61",30,NA,1,0.658189321054681,3.82847122506905
"H-335","H-62",30,NA,1,0.773389342384957,6.38735875796019
"H-336","H-63",30,NA,1,0.679078486015906,3.55363634781447
"H-337","H-64",30,NA,1,0.913355859256661,5.09744286251768
"H-338","H-65",30,NA,1,0.821910895815494,5.99342345969456
"H-339","H-66",30,NA,1,0.598628490920021,4.25346705184191
"H-34","H-12",20,NA,1,0.823687250433546,4.5792051836749
"H-340","H-67",30,NA,1,0.880758769215356,4.45597539271746
"H-341","H-68",30,NA,1,0.858775980596881,4.00285215369371
"H-342","H-69",30,NA,1,0.586923748820485,6.06114538670329
"H-343","H-7",30,NA,1,0.842076784573155,5.18100425157938
"H-344","H-73",30,NA,1,0.772014365771645,7.15424654141381
"H-345","H-74",30,NA,1,0.549845563617991,5.70259749908581
"H-346","H-75",30,NA,1,0.654096950682175,4.68568085119137
"H-347","H-78",30,NA,1,0.659261886325649,5.56895570071536
"H-348","H-79",30,NA,1,0.51339907149974,4.51186532408379
"H-349","H-8",30,NA,1,0.388646206527447,3.78067011978841
"H-35","H-15",20,NA,1,0.875282970412758,3.68891467397793
"H-350","H-80",30,NA,1,0.816936355665436,5.67660866311219
"H-351","H-82",30,NA,1,0.630604367657686,5.22955140773977
"H-352","H-86",30,NA,1,0.822043791996639,3.97085756664484
"H-353","H-87",30,NA,1,0.560258882460185,5.01400962987586
"H-354","H-88",30,NA,1,0.714432002707075,4.5830826302277
"H-355","H-89",30,NA,1,0.684824875137241,3.88036283364865
"H-356","H-92",30,NA,1,0.737515606939878,6.69425933589145
"H-357","H-93",30,NA,1,0.782523189694965,5.89612127665921
"H-358","H-96",30,NA,1,0.565144017722877,5.28399339992443
"H-359","H-97",30,NA,1,0.613764483671766,6.7733890882688
"H-36","H-3",20,NA,1,0.742568093507341,5.50731296198355
"H-360","H-101",31,NA,1,0.447740222249797,7.47819690117189
